FIPS,COUNTY,STATE,SUBREGION
01007,Bibb,Alabama,Southern
01009,Blount,Alabama,Southern
01015,Calhoun,Alabama,Southern
01017,Chambers,Alabama,Southern
01019,Cherokee,Alabama,Southern
01021,Chilton,Alabama,Southern
01027,Clay,Alabama,Southern
01029,Cleburne,Alabama,Southern
01033,Colbert,Alabama,Southern
01037,Coosa,Alabama,Southern
01043,Cullman,Alabama,Southern
01049,De Kalb,Alabama,Southern
01051,Elmore,Alabama,Southern
01055,Etowah,Alabama,Southern
01057,Fayette,Alabama,Southern
01059,Franklin,Alabama,Southern
01065,Hale,Alabama,Southern
01071,Jackson,Alabama,Southern
01073,Jefferson,Alabama,Southern
01075,Lamar,Alabama,Southern
01077,Lauderdale,Alabama,Southern
01079,Lawrence,Alabama,Southern
01083,Limestone,Alabama,Southern
01087,Macon,Alabama,Southern
01089,Madison,Alabama,Southern
01093,Marion,Alabama,Southern
01095,Marshall,Alabama,Southern
01103,Morgan,Alabama,Southern
01107,Pickens,Alabama,Southern
01111,Randolph,Alabama,Southern
01115,St. Clair,Alabama,Southern
01117,Shelby,Alabama,Southern
01121,Talladega,Alabama,Southern
01123,Tallapoosa,Alabama,Southern
01125,Tuscaloosa,Alabama,Southern
01127,Walker,Alabama,Southern
01133,Winston,Alabama,Southern
13011,Banks,Georgia,Southern
13013,Barrow,Georgia,Southern
13015,Bartow,Georgia,Southern
13045,Carroll,Georgia,Southern
13047,Catoosa,Georgia,Southern
13055,Chattooga,Georgia,Southern
13057,Cherokee,Georgia,Southern
13083,Dade,Georgia,Southern
13085,Dawson,Georgia,Southern
13097,Douglas,Georgia,Southern
13105,Elbert,Georgia,Southern
13111,Fannin,Georgia,Southern
13115,Floyd,Georgia,Southern
13117,Forsyth,Georgia,Southern
13119,Franklin,Georgia,Southern
13123,Gilmer,Georgia,Southern
13129,Gordon,Georgia,Southern
13135,Gwinnett,Georgia,Southern
13137,Habersham,Georgia,Southern
13139,Hall,Georgia,Southern
13143,Haralson,Georgia,Southern
13147,Hart,Georgia,Southern
13149,Heard,Georgia,Southern
13157,Jackson,Georgia,Southern
13187,Lumpkin,Georgia,Southern
13195,Madison,Georgia,Southern
13213,Murray,Georgia,Southern
13223,Paulding,Georgia,Southern
13227,Pickens,Georgia,Southern
13233,Polk,Georgia,Southern
13241,Rabun,Georgia,Southern
13257,Stephens,Georgia,Southern
13281,Towns,Georgia,Southern
13291,Union,Georgia,Southern
13295,Walker,Georgia,Southern
13311,White,Georgia,Southern
13313,Whitfield,Georgia,Southern
21001,Adair,Kentucky,Central
21011,Bath,Kentucky,Central
21013,Bell,Kentucky,Central
