fips,county,state,score,subregion,total_gen
1015,Calhoun,Alabama,2,Southern,319338.001
1017,Chambers,Alabama,0,Southern,157850
1019,Cherokee,Alabama,1,Southern,276815.001
1021,Chilton,Alabama,1,Southern,719764.998
1033,Colbert,Alabama,0,Southern,114856
1037,Coosa,Alabama,2,Southern,585826.001
1049,De Kalb,Alabama,2,Southern,30560.001
1051,Elmore,Alabama,0,Southern,1770394
1055,Etowah,Alabama,0,Southern,
1065,Hale,Alabama,2,Southern,27413
1073,Jefferson,Alabama,1,Southern,20529081
1077,Lauderdale,Alabama,0,Southern,2952016.001
1079,Lawrence,Alabama,1,Southern,1611098.997
1083,Limestone,Alabama,2,Southern,31084979
1089,Madison,Alabama,1,Southern,17237
1095,Marshall,Alabama,2,Southern,599319
1103,Morgan,Alabama,0,Southern,5810729
1111,Randolph,Alabama,0,Southern,155199
1117,Shelby,Alabama,0,Southern,4335978
1121,Talladega,Alabama,2,Southern,646101.999
1123,Tallapoosa,Alabama,1,Southern,5147792
1125,Tuscaloosa,Alabama,2,Southern,433470
1127,Walker,Alabama,1,Southern,387891
13013,Barrow,Georgia,1,Southern,47700
13015,Bartow,Georgia,2,Southern,9621283
13105,Elbert,Georgia,0,Southern,596355
13111,Fannin,Georgia,0,Southern,39144
13115,Floyd,Georgia,2,Southern,424880.898
13117,Forsyth,Georgia,2,Southern,225594.001
13119,Franklin,Georgia,2,Southern,373439
13135,Gwinnett,Georgia,2,Southern,66084.001
13137,Habersham,Georgia,0,Southern,315690.002
13147,Hart,Georgia,0,Southern,741735.002
13149,Heard,Georgia,2,Southern,15611898
13157,Jackson,Georgia,0,Southern,185211
13195,Madison,Georgia,2,Southern,393179
13213,Murray,Georgia,1,Southern,8163247
13233,Polk,Georgia,2,Southern,372644
13241,Rabun,Georgia,2,Southern,213333
13257,Stephens,Georgia,0,Southern,63045.999
13291,Union,Georgia,0,Southern,50932
21049,Clark,Kentucky,0,Central,597536
21065,Estill,Kentucky,1,Central,9685
21089,Greenup,Kentucky,2,Central,15675
21125,Laurel,Kentucky,0,Central,104436
21127,Lawrence,Kentucky,1,Central,1112180
